ENZYME,ENZY_ACC_ID,GENE,KIN_ORGANISM,SUBSTRATE,SUB_GENE_ID,SUB_ACC_ID,SUB_GENE,SUB_ORGANISM,SUB_MOD_RSD,SITE_GRP_ID,SITE_...7_AA,networkin_score,Source
AHR,P30561,Ahr,mouse,PPARG,,P37238,Pparg,mouse,,,,,
AHR,P30561,Ahr,mouse,RIPK1,,Q60855,Ripk1,mouse,,,,,
AMFR,Q9R049,Amfr,mouse,CD82,,P40237,Cd82,mouse,,,,,
ARI1,Q9Z1K5,Arih1,mouse,PD1L1,,Q9EP73,Cd274,mouse,,,,,
ASB17,Q8VHP9,Asb17,mouse,MCL1,,P97287,Mcl1,mouse,,,,,
ASB9,Q91ZT8,Asb9,mouse,KCRB,,Q04447,Ckb,mouse,,,,,
FBW1A,Q3ULA2,Btrc,mouse,ATF4,,Q06507,Atf4,mouse,,,,,
FBW1A,Q3ULA2,Btrc,mouse,PLK4,,Q64702,Plk4,mouse,,,,,
FBW1A,Q3ULA2,Btrc,mouse,DLG1,,Q811D0,Dlg1,mouse,,,,,
FBW1A,Q3ULA2,Btrc,mouse,IKBE,,O54910,Nfkbie,mouse,,,,,
FBW1A,Q3ULA2,Btrc,mouse,PCAT1,,Q3TFD2,Lpcat1,mouse,,,,,
FBW1A,Q3ULA2,Btrc,mouse,SMAD4,,P97471,Smad4,mouse,,,,,
FBW1A,Q3ULA2,Btrc,mouse,MPIP1,,P48964,Cdc25a,mouse,,,,,
FBW1A,Q3ULA2,Btrc,mouse,SMAD3,,Q8BUN5,Smad3,mouse,,,,,
FBW1A,Q3ULA2,Btrc,mouse,SNAI1,,Q02085,Snai1,mouse,,,,,
FBW1A,Q3ULA2,Btrc,mouse,IKBB,,Q60778,Nfkbib,mouse,,,,,
FBW1A,Q3ULA2,Btrc,mouse,IKBA,,Q9Z1E3,Nfkbia,mouse,,,,,
FBW1A,Q3ULA2,Btrc,mouse,FBX5,,Q7TSG3,Fbxo5,mouse,,,,,
FBW1A,Q3ULA2,Btrc,mouse,CD4,,P06332,Cd4,mouse,,,,,
FBW1A,Q3ULA2,Btrc,mouse,MDM2,,P23804,Mdm2,mouse,,,,,
FBW1A,Q3ULA2,Btrc,mouse,NFKB2,,Q9WTK5,Nfkb2,mouse,,,,,
FBW1A,Q3ULA2,Btrc,mouse,NFKB1,,P25799,Nfkb1,mouse,,,,,
FBW1A,Q3ULA2,Btrc,mouse,CTNB1,,Q02248,Ctnnb1,mouse,,,,,
CBL,P22682,Cbl,mouse,VGFR2,,P35918,Kdr,mouse,,,,,
CBL,P22682,Cbl,mouse,VAV,,P27870,Vav1,mouse,,,,,
CBL,P22682,Cbl,mouse,IRF8,,P23611,Irf8,mouse,,,,,
CBL,P22682,Cbl,mouse,SRBS2,,Q3UTJ2,Sorbs2,mouse,,,,,
CBL,P22682,Cbl,mouse,EGFR,,Q01279,Egfr,mouse,,,,,
CBL,P22682,Cbl,mouse,STA5A,,P42230,Stat5a,mouse,,,,,
CBL,P22682,Cbl,mouse,STA5B,,P42232,Stat5b,mouse,,,,,
CBL,P22682,Cbl,mouse,CSF1R,,P09581,Csf1r,mouse,,,,,
CBL,P22682,Cbl,mouse,FGFR4,,Q03142,Fgfr4,mouse,,,,,
CBL,P22682,Cbl,mouse,KIT,,P05532,Kit,mouse,,,,,
CBL,P22682,Cbl,mouse,CRKL,,P47941,Crkl,mouse,,,,,
CBL,P22682,Cbl,mouse,IL6RB,,Q00560,Il6st,mouse,,,,,
CBL,P22682,Cbl,mouse,B2L11,,O54918,Bcl2l11,mouse,,,,,
CBL,P22682,Cbl,mouse,FGFR1,,P16092,Fgfr1,mouse,,,,,
CBL,P22682,Cbl,mouse,MET,,P16056,Met,mouse,,,,,
CBL,P22682,Cbl,mouse,RELB,,Q04863,Relb,mouse,,,,,
CBL,P22682,Cbl,mouse,SH3K1,,Q8R550,Sh3kbp1,mouse,,,,,
CBL,P22682,Cbl,mouse,FRS2,,Q8C180,Frs2,mouse,,,,,
CBL,P22682,Cbl,mouse,HGS,,Q99LI8,Hgs,mouse,,,,,
CBL,P22682,Cbl,mouse,FGFR2,,P21803,Fgfr2,mouse,,,,,
CBL,P22682,Cbl,mouse,PGFRB,,P05622,Pdgfrb,mouse,,,,,
CBL,P22682,Cbl,mouse,FGFR3,,Q61851,Fgfr3,mouse,,,,,
CBL,P22682,Cbl,mouse,DDX58,,Q6Q899,Ddx58,mouse,,,,,
CBL,P22682,Cbl,mouse,LYN,,P25911,Lyn,mouse,,,,,
CBL,P22682,Cbl,mouse,KSYK,,P48025,Syk,mouse,,,,,
CBL,P22682,Cbl,mouse,PGFRA,,P26618,Pdgfra,mouse,,,,,
CBLB,Q3TTA7,Cblb,mouse,IRF4,,Q64287,Irf4,mouse,,,,,
