No,ENZY_ACC_ID,ENZYME,E3_GN,E3_Alias,E3_PN,SUB_ACC_ID,SUBSTRATE,SUB_GENE,SUB_Alias,SUB_PN,E3_ORGANISM,SUB_ORGANISM,PMID
1,Q00987,MDM2_HUMAN,MDM2,MDM2,E3 ubiquitin-protein ligase Mdm2 ~~Double minute 2 protein~~Hdm2~~Oncoprotein Mdm2~~RING-type E3 ubiquitin transferase Mdm2~~p53-binding protein Mdm2,P04637,P53_HUMAN,TP53,TP53~~P53,Cellular tumor antigen p53 ~~Antigen NY-CO-13~~Phosphoprotein p53~~Tumor suppressor p53,Homo sapiens (Human),Homo sapiens (Human),10207051
2,P49427,UB2R1_HUMAN,CDC34,CDC34~~UBCH3~~UBE2R1,Ubiquitin-conjugating enzyme E2 R1 ~~E3-independent E2 ubiquitin-conjugating enzyme R1 ~~E2 ubiquitin-conjugating enzyme R1~~Ubiquitin-conjugating enzyme E2-32 kDa complementing~~Ubiquitin-conjugating enzyme E2-CDC34~~Ubiquitin-protein ligase R1,Q9Y297,FBW1A_HUMAN,BTRC,BTRC~~BTRCP~~FBW1A~~FBXW1A,F-box/WD repeat-containing protein 1A ~~E3RSIkappaB~~Epididymis tissue protein Li 2a~~F-box and WD repeats protein beta-TrCP~~pIkappaBalpha-E3 receptor subunit,Homo sapiens (Human),Homo sapiens (Human),10531035
3,Q00987,MDM2_HUMAN,MDM2,MDM2,E3 ubiquitin-protein ligase Mdm2 ~~Double minute 2 protein~~Hdm2~~Oncoprotein Mdm2~~RING-type E3 ubiquitin transferase Mdm2~~p53-binding protein Mdm2,Q16665,HIF1A_HUMAN,HIF1A,HIF1A~~BHLHE78~~MOP1~~PASD8,Hypoxia-inducible factor 1-alpha ~~HIF-1-alpha~~HIF1-alpha~~ARNT-interacting protein~~Basic-helix-loop-helix-PAS protein MOP1~~Class E basic helix-loop-helix protein 78~~bHLHe78~~Member of PAS protein 1~~PAS domain-containing protein 8,Homo sapiens (Human),Homo sapiens (Human),10640274
4,Q9UM11,FZR1_HUMAN,FZR1,FZR1~~CDH1~~FYR~~FZR~~KIAA1242,Fizzy-related protein homolog ~~Fzr~~CDC20-like protein 1~~Cdh1/Hct1 homolog~~hCDH1,Q99741,CDC6_HUMAN,CDC6,CDC6~~CDC18L,Cell division control protein 6 homolog ~~CDC6-related protein~~Cdc18-related protein~~HsCdc18~~p62cdc6~~HsCDC6,Homo sapiens (Human),Homo sapiens (Human),10995389
5,P38398,BRCA1_HUMAN,BRCA1,BRCA1~~RNF53,Breast cancer type 1 susceptibility protein ~~RING finger protein 53~~RING-type E3 ubiquitin transferase BRCA1,Q16777,H2A2C_HUMAN,H2AC20,H2AC20~~H2AFQ~~HIST2H2AC,Histone H2A type 2-C ~~H2A-clustered histone 20~~Histone H2A-GL101~~Histone H2A/q,Homo sapiens (Human),Homo sapiens (Human),11927591
6,Q9UK22,FBX2_HUMAN,FBXO2,FBXO2~~FBX2,F-box only protein 2,P02765,FETUA_HUMAN,AHSG,AHSG~~FETUA~~PRO2743,Alpha-2-HS-glycoprotein ~~Alpha-2-Z-globulin~~Ba-alpha-2-glycoprotein~~Fetuin-A ,Homo sapiens (Human),Homo sapiens (Human),12140560
7,P46934,NEDD4_HUMAN,NEDD4,NEDD4~~KIAA0093~~NEDD4-1~~PIG53,E3 ubiquitin-protein ligase NEDD4 ~~Cell proliferation-inducing gene 53 protein~~HECT-type E3 ubiquitin transferase NEDD4~~Neural precursor cell expressed developmentally down-regulated protein 4~~NEDD-4,O14964,HGS_HUMAN,HGS,HGS~~HRS,Hepatocyte growth factor-regulated tyrosine kinase substrate ~~Hrs~~Protein pp110,Homo sapiens (Human),Homo sapiens (Human),12230472
8,Q9UM11,FZR1_HUMAN,FZR1,FZR1~~CDH1~~FYR~~FZR~~KIAA1242,Fizzy-related protein homolog ~~Fzr~~CDC20-like protein 1~~Cdh1/Hct1 homolog~~hCDH1,P30304,MPIP1_HUMAN,CDC25A,CDC25A,M-phase inducer phosphatase 1 ~~Dual specificity phosphatase Cdc25A,Homo sapiens (Human),Homo sapiens (Human),12234927
9,O15151,MDM4_HUMAN,MDM4,MDM4~~MDMX,Protein Mdm4 ~~Double minute 4 protein~~Mdm2-like p53-binding protein~~Protein Mdmx~~p53-binding protein Mdm4,P04637,P53_HUMAN,TP53,TP53~~P53,Cellular tumor antigen p53 ~~Antigen NY-CO-13~~Phosphoprotein p53~~Tumor suppressor p53,Homo sapiens (Human),Homo sapiens (Human),12393902
10,Q13489,BIRC3_HUMAN,BIRC3,BIRC3~~API2~~MIHC~~RNF49,Baculoviral IAP repeat-containing protein 3 ~~Apoptosis inhibitor 2~~API2~~Cellular inhibitor of apoptosis 2~~C-IAP2~~IAP homolog C~~Inhibitor of apoptosis protein 1~~hIAP-1~~hIAP1~~RING finger protein 49~~RING-type E3 ubiquitin transferase BIRC3~~TNFR2-TRAF-signaling complex protein 1,Q9NR28,DBLOH_HUMAN,DIABLO,DIABLO~~SMAC,"Diablo homolog, mitochondrial ~~Direct IAP-binding protein with low pI~~Second mitochondria-derived activator of caspase~~Smac",Homo sapiens (Human),Homo sapiens (Human),12525502
11,Q00987,MDM2_HUMAN,MDM2,MDM2,E3 ubiquitin-protein ligase Mdm2 ~~Double minute 2 protein~~Hdm2~~Oncoprotein Mdm2~~RING-type E3 ubiquitin transferase Mdm2~~p53-binding protein Mdm2,P49757,NUMB_HUMAN,NUMB,NUMB~~C14orf41,Protein numb homolog ~~h-Numb~~Protein S171,Homo sapiens (Human),Homo sapiens (Human),12646252
12,P38398,BRCA1_HUMAN,BRCA1,BRCA1~~RNF53,Breast cancer type 1 susceptibility protein ~~RING finger protein 53~~RING-type E3 ubiquitin transferase BRCA1,Q9BXW9,FACD2_HUMAN,FANCD2,FANCD2~~FACD,Fanconi anemia group D2 protein ~~Protein FACD2,Homo sapiens (Human),Homo sapiens (Human),12887909
13,Q9UJX6,ANC2_HUMAN,ANAPC2,ANAPC2~~APC2~~KIAA1406,Anaphase-promoting complex subunit 2 ~~APC2~~Cyclosome subunit 2,O95997,PTTG1_HUMAN,PTTG1,PTTG1~~EAP1~~PTTG~~TUTR1,Securin ~~Esp1-associated protein~~Pituitary tumor-transforming gene 1 protein~~Tumor-transforming protein 1~~hPTTG,Homo sapiens (Human),Homo sapiens (Human),12956947
14,O60260,PRKN_HUMAN,PRKN,PRKN~~PARK2,E3 ubiquitin-protein ligase parkin ~~Parkin ~~Parkin RBR E3 ubiquitin-protein ligase~~Parkinson juvenile disease protein 2~~Parkinson disease protein 2,Q99719,SEPT5_HUMAN,SEPTIN5,SEPTIN5~~PNUTL1~~SEPT5,Septin-5 ~~Cell division control-related protein 1~~CDCrel-1~~Peanut-like protein 1,Homo sapiens (Human),Homo sapiens (Human),14559152
15,Q9UKB1,FBW1B_HUMAN,FBXW11,FBXW11~~BTRCP2~~FBW1B~~FBXW1B~~KIAA0696,F-box/WD repeat-containing protein 11 ~~F-box and WD repeats protein beta-TrCP2~~F-box/WD repeat-containing protein 1B~~Homologous to Slimb protein~~HOS,P30304,MPIP1_HUMAN,CDC25A,CDC25A,M-phase inducer phosphatase 1 ~~Dual specificity phosphatase Cdc25A,Homo sapiens (Human),Homo sapiens (Human),14681206
16,Q9UM11,FZR1_HUMAN,FZR1,FZR1~~CDH1~~FYR~~FZR~~KIAA1242,Fizzy-related protein homolog ~~Fzr~~CDC20-like protein 1~~Cdh1/Hct1 homolog~~hCDH1,P04183,KITH_HUMAN,TK1,TK1,"Thymidine kinase, cytosolic ",Homo sapiens (Human),Homo sapiens (Human),14701726
17,Q9Y4K3,TRAF6_HUMAN,TRAF6,TRAF6~~RNF85,TNF receptor-associated factor 6 ~~E3 ubiquitin-protein ligase TRAF6~~Interleukin-1 signal transducer~~RING finger protein 85~~RING-type E3 ubiquitin transferase TRAF6,P34932,HSP74_HUMAN,HSPA4,HSPA4~~APG2,Heat shock 70 kDa protein 4 ~~HSP70RY~~Heat shock 70-related protein APG-2,Homo sapiens (Human),Homo sapiens (Human),14702098
18,Q9UM11,FZR1_HUMAN,FZR1,FZR1~~CDH1~~FYR~~FZR~~KIAA1242,Fizzy-related protein homolog ~~Fzr~~CDC20-like protein 1~~Cdh1/Hct1 homolog~~hCDH1,Q13309,SKP2_HUMAN,SKP2,SKP2~~FBXL1,S-phase kinase-associated protein 2 ~~Cyclin-A/CDK2-associated protein p45~~F-box protein Skp2~~F-box/LRR-repeat protein 1~~p45skp2,Homo sapiens (Human),Homo sapiens (Human),15014502
19,Q9UKB1,FBW1B_HUMAN,FBXW11,FBXW11~~BTRCP2~~FBW1B~~FBXW1B~~KIAA0696,F-box/WD repeat-containing protein 11 ~~F-box and WD repeats protein beta-TrCP2~~F-box/WD repeat-containing protein 1B~~Homologous to Slimb protein~~HOS,P16471,PRLR_HUMAN,PRLR,PRLR,Prolactin receptor ~~PRL-R,Homo sapiens (Human),Homo sapiens (Human),15082796
20,P46934,NEDD4_HUMAN,NEDD4,NEDD4~~KIAA0093~~NEDD4-1~~PIG53,E3 ubiquitin-protein ligase NEDD4 ~~Cell proliferation-inducing gene 53 protein~~HECT-type E3 ubiquitin transferase NEDD4~~Neural precursor cell expressed developmentally down-regulated protein 4~~NEDD-4,Q14524,SCN5A_HUMAN,SCN5A,SCN5A,Sodium channel protein type 5 subunit alpha ~~HH1~~Sodium channel protein cardiac muscle subunit alpha~~Sodium channel protein type V subunit alpha~~Voltage-gated sodium channel subunit alpha Nav1.5,Homo sapiens (Human),Homo sapiens (Human),15217910
21,Q9NR09,BIRC6_HUMAN,BIRC6,BIRC6~~KIAA1289,Baculoviral IAP repeat-containing protein 6 ~~BIR repeat-containing ubiquitin-conjugating enzyme~~BRUCE~~RING-type E3 ubiquitin transferase BIRC6~~Ubiquitin-conjugating BIR domain enzyme apollon~~APOLLON,Q9NR28,DBLOH_HUMAN,DIABLO,DIABLO~~SMAC,"Diablo homolog, mitochondrial ~~Direct IAP-binding protein with low pI~~Second mitochondria-derived activator of caspase~~Smac",Homo sapiens (Human),Homo sapiens (Human),15300255
22,Q00987,MDM2_HUMAN,MDM2,MDM2,E3 ubiquitin-protein ligase Mdm2 ~~Double minute 2 protein~~Hdm2~~Oncoprotein Mdm2~~RING-type E3 ubiquitin transferase Mdm2~~p53-binding protein Mdm2,Q16778,H2B2E_HUMAN,H2BC21,H2BC21~~H2BFQ~~HIST2H2BE,Histone H2B type 2-E ~~H2B-clustered histone 21~~Histone H2B-GL105~~Histone H2B.q~~H2B/q,Homo sapiens (Human),Homo sapiens (Human),15546622
