ENZYME,ENZY_ACC_ID,GENE,KIN_ORGANISM,SUBSTRATE,SUB_GENE_ID,SUB_ACC_ID,SUB_GENE,SUB_ORGANISM,SUB_MOD_RSD,SITE_GRP_ID,SITE_...7_AA,networkin_score,Source
CSN5,O35864,Cops5,mouse,PD1L1,,Q9EP73,Cd274,mouse,,,,,
OTU1,Q8CB27,Yod1,mouse,NEDD4,,P46935,Nedd4,mouse,,,,,
UBP38,Q8BW70,Usp38,mouse,JUNB,,P09450,Junb,mouse,,,,,
UBP15,Q8R5H1,Usp15,mouse,IF4A1,,P60843,Eif4a1,mouse,,,,,
UBP2,O88623,Usp2,mouse,AURKA,,P97477,Aurka,mouse,,,,,
UBP5,P56399,Usp5,mouse,SNAI2,,P97469,Snai2,mouse,,,,,
USP9X,P70398,Usp9x,mouse,ANK3,,G5E8K5,Ank3,mouse,,,,,
UBP22,Q5DU02,Usp22,mouse,IMA1,,P52293,Kpna2,mouse,,,,,
PSDE,O35593,Psmd14,mouse,CAV1,,P49817,Cav1,mouse,,,,,
UBP7,Q6A4J8,Usp7,mouse,KDM6B,,Q5NCY0,Kdm6b,mouse,,,,,
OTUD1,Q9CUB6,Otud1,mouse,SMUF1,,Q9CUN6,Smurf1,mouse,,,,,
UBP8,Q80U87,Usp8,mouse,M3K7,,Q62073,Map3k7,mouse,,,,,
UBP1,Q8BJQ2,Usp1,mouse,SIX1,,Q62231,Six1,mouse,,,,,
UBP18,Q9WTV6,Usp18,mouse,SOX9,,Q04887,Sox9,mouse,,,,,
UBP13,Q5BKP2,Usp13,mouse,MCL1,,P97287,Mcl1,mouse,,,,,
USP9X,P70398,Usp9x,mouse,PEG10,,Q7TN75,Peg10,mouse,,,,,
UBP22,Q5DU02,Usp22,mouse,BRD4,,Q9ESU6,Brd4,mouse,,,,,
UBP11,Q99K46,Usp11,mouse,E2F1,,Q61501,E2f1,mouse,,,,,
CYLD,Q80TQ2,Cyld,mouse,RIPK1,,Q60855,Ripk1,mouse,,,,,
UBP7,Q6A4J8,Usp7,mouse,AKT1,,P31750,Akt1,mouse,,,,,
UBP19,Q3UJD6,Usp19,mouse,NLRP3,,Q8R4B8,Nlrp3,mouse,,,,,
US6NL,Q80XC3,Usp6nl,mouse,NMDE2,,Q01097,Grin2b,mouse,,,,,
UBP5,P56399,Usp5,mouse,DLL4,,Q9JI71,Dll4,mouse,,,,,
UBP7,Q6A4J8,Usp7,mouse,MYC,,P01108,Myc,mouse,,,,,
UBP7,Q6A4J8,Usp7,mouse,E9Q605,,E9Q605,Chuk,mouse,,,,,
UBP44,Q8C2S0,Usp44,mouse,DDB2,,Q99J79,Ddb2,mouse,,,,,
UBP8,Q80U87,Usp8,mouse,SQSTM,,Q64337,Sqstm1,mouse,,,,,
UBP13,Q5BKP2,Usp13,mouse,STING,,Q3TBT3,Sting1,mouse,,,,,
UBP10,P52479,Usp10,mouse,PTEN,,O08586,Pten,mouse,,,,,
UBP15,Q8R5H1,Usp15,mouse,BARD1,,O70445,Bard1,mouse,,,,,
TNAP3,Q60769,Tnfaip3,mouse,M3K5,,O35099,Map3k5,mouse,,,,,
UBP4,P35123,Usp4,mouse,SMAD4,,P97471,Smad4,mouse,,,,,
UBP19,Q3UJD6,Usp19,mouse,TCAM1,,Q80UF7,Ticam1,mouse,,,,,
UBP18,Q9WTV6,Usp18,mouse,M3K7,,Q62073,Map3k7,mouse,,,,,
USP9X,P70398,Usp9x,mouse,SOX2,,P48432,Sox2,mouse,,,,,
PSDE,O35593,Psmd14,mouse,E2F1,,Q61501,E2f1,mouse,,,,,
UBP1,Q8BJQ2,Usp1,mouse,KDM4A,,Q8BW72,Kdm4a,mouse,,,,,
UBP16,Q99LG0,Usp16,mouse,B1ASP2,,B1ASP2,Jak1,mouse,,,,,
UBP21,Q9QZL6,Usp21,mouse,GSC,,Q02591,Gsc,mouse,,,,,
UBP14,Q9JMA1,Usp14,mouse,DDX58,,Q6Q899,Ddx58,mouse,,,,,
UBP8,Q80U87,Usp8,mouse,LEPR,,P48356,Lepr,mouse,,,,,
UBP13,Q5BKP2,Usp13,mouse,SIGIR,,Q9JLZ8,Sigirr,mouse,,,,,
UBP5,P56399,Usp5,mouse,E9Q6P9,,E9Q6P9,Cacna1h,mouse,,,,,
UBP18,Q9WTV6,Usp18,mouse,UCP1,,P12242,Ucp1,mouse,,,,,
UBP16,Q99LG0,Usp16,mouse,PP2BC,,P48455,Ppp3cc,mouse,,,,,
UBP1,Q8BJQ2,Usp1,mouse,AKT1,,P31750,Akt1,mouse,,,,,
UBP30,Q3UN04,Usp30,mouse,ACLY,,Q91V92,Acly,mouse,,,,,
UBP47,Q8BY87,Usp47,mouse,RS2,,P25444,Rps2,mouse,,,,,
UBP1,Q8BJQ2,Usp1,mouse,ID2,,P41136,Id2,mouse,,,,,
UBP42,B2RQC2,Usp42,mouse,ZNRF3,,Q5SSZ7,Znrf3,mouse,,,,,
UBP13,Q5BKP2,Usp13,mouse,SMAD4,,P97471,Smad4,mouse,,,,,
UBP7,Q6A4J8,Usp7,mouse,P53,,P02340,Tp53,mouse,,,,,
