"ENZYME","ENZY_ACC_ID","GENE","KIN_ORGANISM","SUBSTRATE","SUB_GENE_ID","SUB_ACC_ID","SUB_GENE","SUB_ORGANISM","SUB_MOD_RSD","SITE_GRP_ID","SITE_...7_AA","networkin_score","Source"
"CSN5","O35864","Cops5","mouse","PD1L1",NA,"Q9EP73","Cd274","mouse",NA,NA,NA,NA,NA
"OTU1","Q8CB27","Yod1","mouse","NEDD4",NA,"P46935","Nedd4","mouse",NA,NA,NA,NA,NA
"UBP38","Q8BW70","Usp38","mouse","JUNB",NA,"P09450","Junb","mouse",NA,NA,NA,NA,NA
"UBP15","Q8R5H1","Usp15","mouse","IF4A1",NA,"P60843","Eif4a1","mouse",NA,NA,NA,NA,NA
"UBP2","O88623","Usp2","mouse","AURKA",NA,"P97477","Aurka","mouse",NA,NA,NA,NA,NA
"UBP5","P56399","Usp5","mouse","SNAI2",NA,"P97469","Snai2","mouse",NA,NA,NA,NA,NA
"USP9X","P70398","Usp9x","mouse","ANK3",NA,"G5E8K5","Ank3","mouse",NA,NA,NA,NA,NA
"UBP22","Q5DU02","Usp22","mouse","IMA1",NA,"P52293","Kpna2","mouse",NA,NA,NA,NA,NA
"PSDE","O35593","Psmd14","mouse","CAV1",NA,"P49817","Cav1","mouse",NA,NA,NA,NA,NA
"UBP7","Q6A4J8","Usp7","mouse","KDM6B",NA,"Q5NCY0","Kdm6b","mouse",NA,NA,NA,NA,NA
"OTUD1","Q9CUB6","Otud1","mouse","SMUF1",NA,"Q9CUN6","Smurf1","mouse",NA,NA,NA,NA,NA
"UBP8","Q80U87","Usp8","mouse","M3K7",NA,"Q62073","Map3k7","mouse",NA,NA,NA,NA,NA
"UBP1","Q8BJQ2","Usp1","mouse","SIX1",NA,"Q62231","Six1","mouse",NA,NA,NA,NA,NA
"UBP18","Q9WTV6","Usp18","mouse","SOX9",NA,"Q04887","Sox9","mouse",NA,NA,NA,NA,NA
"UBP13","Q5BKP2","Usp13","mouse","MCL1",NA,"P97287","Mcl1","mouse",NA,NA,NA,NA,NA
"USP9X","P70398","Usp9x","mouse","PEG10",NA,"Q7TN75","Peg10","mouse",NA,NA,NA,NA,NA
"UBP22","Q5DU02","Usp22","mouse","BRD4",NA,"Q9ESU6","Brd4","mouse",NA,NA,NA,NA,NA
"UBP11","Q99K46","Usp11","mouse","E2F1",NA,"Q61501","E2f1","mouse",NA,NA,NA,NA,NA
"CYLD","Q80TQ2","Cyld","mouse","RIPK1",NA,"Q60855","Ripk1","mouse",NA,NA,NA,NA,NA
"UBP7","Q6A4J8","Usp7","mouse","AKT1",NA,"P31750","Akt1","mouse",NA,NA,NA,NA,NA
"UBP19","Q3UJD6","Usp19","mouse","NLRP3",NA,"Q8R4B8","Nlrp3","mouse",NA,NA,NA,NA,NA
"US6NL","Q80XC3","Usp6nl","mouse","NMDE2",NA,"Q01097","Grin2b","mouse",NA,NA,NA,NA,NA
"UBP5","P56399","Usp5","mouse","DLL4",NA,"Q9JI71","Dll4","mouse",NA,NA,NA,NA,NA
"UBP7","Q6A4J8","Usp7","mouse","MYC",NA,"P01108","Myc","mouse",NA,NA,NA,NA,NA
"UBP7","Q6A4J8","Usp7","mouse","E9Q605",NA,"E9Q605","Chuk","mouse",NA,NA,NA,NA,NA
"UBP44","Q8C2S0","Usp44","mouse","DDB2",NA,"Q99J79","Ddb2","mouse",NA,NA,NA,NA,NA
"UBP8","Q80U87","Usp8","mouse","SQSTM",NA,"Q64337","Sqstm1","mouse",NA,NA,NA,NA,NA
"UBP13","Q5BKP2","Usp13","mouse","STING",NA,"Q3TBT3","Sting1","mouse",NA,NA,NA,NA,NA
"UBP10","P52479","Usp10","mouse","PTEN",NA,"O08586","Pten","mouse",NA,NA,NA,NA,NA
"UBP15","Q8R5H1","Usp15","mouse","BARD1",NA,"O70445","Bard1","mouse",NA,NA,NA,NA,NA
"TNAP3","Q60769","Tnfaip3","mouse","M3K5",NA,"O35099","Map3k5","mouse",NA,NA,NA,NA,NA
"UBP4","P35123","Usp4","mouse","SMAD4",NA,"P97471","Smad4","mouse",NA,NA,NA,NA,NA
"UBP19","Q3UJD6","Usp19","mouse","TCAM1",NA,"Q80UF7","Ticam1","mouse",NA,NA,NA,NA,NA
