"ENZYME","ENZY_ACC_ID","GENE","SUBSTRATE","SUB_ACC_ID","SUB_GENE"
"DCX(DET1-COP1)","Q9D0A0#Q9R1A8","-","CRTC2","Q3U182","Crtc2"
"ECS(NEURL2)","Q9D0S4","-","CTNB1","Q02248","Ctnnb1"
"MARH2","Q99M02","2-Mar","TFR1","Q62351","Tfrc"
"MDM2","P23804","Mdm2","APEX1","P28352","Apex1"
"MYLIP","Q8BM54","Mylip","LRP8","Q924X6","Lrp8"
"NED4L","Q8CFI0","Nedd4l","SCNNA","Q61180","Scnn1a"
"NEDD4","P46935","Nedd4","KSYK","P48025","Syk"
"NEDD4","P46935","Nedd4","NEDD4","P46935","Nedd4"
"NHLC1","Q8BR37","Nhlrc1","PPR3C","Q7TMB3","Ppp1r3c"
"M3K1","P53349","Map3k1","JUN","P05627","Jun"
"M3K1","P53349","Map3k1","MK01","P63085","Mapk1"
"MALT1","Q2TBA3","Malt1","NEMO","O88522","Ikbkg"
"MARHB","Q8CBH7","11-Mar","CD4","P06332","Cd4"
"MDM2","P23804","Mdm2","ARC","Q9WV31","Arc"
"MDM2","P23804","Mdm2","TELT","O70548","Tcap"
"MIB2","Q8R516","Mib2","DLL4","Q9JI71","Dll4"
"MKRN1","Q9QXP6","Mkrn1","CDN1A","P39689","Cdkn1a"
"MKRN1","Q9QXP6","Mkrn1","P53","P02340","Tp53"
"NED4L","Q8CFI0","Nedd4l","S38A2","Q8CFE6","Slc38a2"
"NED4L","Q8CFI0","Nedd4l","SCN5A","Q9JJV9","Scn5a"
"NED4L","Q8CFI0","Nedd4l","SMAD2","Q62432","Smad2"
"NEDD4","P46935","Nedd4","PTEN","O08586",""
"NEU1B","Q0MW30","Neurl1b","DLL4","Q9JI71","Dll4"
"NHLC1","Q8BR37","Nhlrc1","EPM2A","Q9WUA5","Epm2a"
"PAXI1","Q6NZQ4","Paxip1","PCNA","P17918","Pcna"
"WWP2","Q9DBH0","Wwp2","PO5F1","P20263",""
"XIAP","Q60989","Xiap","COMD1","Q8K4M5","Commd1"
"BCR(GAN)","Q8CA72","-","MAP1B","P14873","Map1b"
"BCR(KLHL17)","Q6TDP3","-","GRIK2","P39087",""
"CBLB","Q3TTA7","Cblb","CBLB","Q3TTA7","Cblb"
"CBL","P22682","Cbl","HGS","Q99LI8","Hgs"
