No,ENZY_ACC_ID,ENZYME,KIN_ORGANISM,GENE,E3_Alias,E3_PN,,,SUB_ACC_ID,SUBSTRATE,SUB_ORGANISM,SUB_GENE,SUB_Alias,SUB_PN,E3_ORGANISM,SUB_ORGANISM,PMID
2427,Q91ZT8,ASB9,MOUSE,Asb9,Asb9,Ankyrin repeat and SOCS box protein 9 ~~ASB-9,,,Q04447,KCRB,MOUSE,Ckb,Ckb~~Ckbb,Creatine kinase B-type ~~B-CK~~Creatine kinase B chain~~Creatine phosphokinase B-type~~CPK-B,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2428,Q3ULA2,FBW1A,MOUSE,Btrc,Btrc~~Fbw1~~Fbxw1~~Fwd1~~Kiaa4123,F-box/WD repeat-containing protein 1A ~~Beta-TrCP protein E3RS-IkappaB~~Beta-transducin repeat-containing protein~~Beta-TrCP~~E3RSIkappaB~~mE3RS-IkappaB~~F-box and WD repeats protein beta-TrCP~~HOS~~Ubiquitin ligase FWD1~~pIkappaB-E3 receptor subunit,,,Q3TFD2,PCAT1,MOUSE,Lpcat1,Lpcat1~~Aytl2,Lysophosphatidylcholine acyltransferase 1 ~~LPC acyltransferase 1~~LPCAT-1~~LysoPC acyltransferase 1~~mLPCAT1 ~~1-acylglycerophosphocholine O-acyltransferase~~1-alkylglycerophosphocholine O-acetyltransferase ~~Acetyl-CoA:lyso-platelet-activating factor acetyltransferase~~Acetyl-CoA:lyso-PAF acetyltransferase~~Lyso-PAF acetyltransferase~~LysoPAFAT~~Acyltransferase-like 2,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2429,Q3ULA2,FBW1A,MOUSE,Btrc,Btrc~~Fbw1~~Fbxw1~~Fwd1~~Kiaa4123,F-box/WD repeat-containing protein 1A ~~Beta-TrCP protein E3RS-IkappaB~~Beta-transducin repeat-containing protein~~Beta-TrCP~~E3RSIkappaB~~mE3RS-IkappaB~~F-box and WD repeats protein beta-TrCP~~HOS~~Ubiquitin ligase FWD1~~pIkappaB-E3 receptor subunit,,,Q06507,ATF4,MOUSE,Atf4,Atf4,Cyclic AMP-dependent transcription factor ATF-4 ~~cAMP-dependent transcription factor ATF-4~~Activating transcription factor 4~~C/EBP-related ATF~~C/ATF~~Tax-responsive enhancer element-binding protein 67 homolog~~TaxREB67 homolog,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2430,Q3ULA2,FBW1A,MOUSE,Btrc,Btrc~~Fbw1~~Fbxw1~~Fwd1~~Kiaa4123,F-box/WD repeat-containing protein 1A ~~Beta-TrCP protein E3RS-IkappaB~~Beta-transducin repeat-containing protein~~Beta-TrCP~~E3RSIkappaB~~mE3RS-IkappaB~~F-box and WD repeats protein beta-TrCP~~HOS~~Ubiquitin ligase FWD1~~pIkappaB-E3 receptor subunit,,,P23804,MDM2,MOUSE,Mdm2,Mdm2,E3 ubiquitin-protein ligase Mdm2 ~~Double minute 2 protein~~Oncoprotein Mdm2~~RING-type E3 ubiquitin transferase Mdm2~~p53-binding protein Mdm2,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2431,Q3ULA2,FBW1A,MOUSE,Btrc,Btrc~~Fbw1~~Fbxw1~~Fwd1~~Kiaa4123,F-box/WD repeat-containing protein 1A ~~Beta-TrCP protein E3RS-IkappaB~~Beta-transducin repeat-containing protein~~Beta-TrCP~~E3RSIkappaB~~mE3RS-IkappaB~~F-box and WD repeats protein beta-TrCP~~HOS~~Ubiquitin ligase FWD1~~pIkappaB-E3 receptor subunit,,,P06332,CD4,MOUSE,Cd4,Cd4,T-cell surface glycoprotein CD4 ~~T-cell differentiation antigen L3T4~~T-cell surface antigen T4/Leu-3~~CD antigen CD4,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2432,Q3ULA2,FBW1A,MOUSE,Btrc,Btrc~~Fbw1~~Fbxw1~~Fwd1~~Kiaa4123,F-box/WD repeat-containing protein 1A ~~Beta-TrCP protein E3RS-IkappaB~~Beta-transducin repeat-containing protein~~Beta-TrCP~~E3RSIkappaB~~mE3RS-IkappaB~~F-box and WD repeats protein beta-TrCP~~HOS~~Ubiquitin ligase FWD1~~pIkappaB-E3 receptor subunit,,,P48964,MPIP1,MOUSE,Cdc25a,Cdc25a~~Cdc25m3,M-phase inducer phosphatase 1 ~~Dual specificity phosphatase Cdc25A,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2433,Q3ULA2,FBW1A,MOUSE,Btrc,Btrc~~Fbw1~~Fbxw1~~Fwd1~~Kiaa4123,F-box/WD repeat-containing protein 1A ~~Beta-TrCP protein E3RS-IkappaB~~Beta-transducin repeat-containing protein~~Beta-TrCP~~E3RSIkappaB~~mE3RS-IkappaB~~F-box and WD repeats protein beta-TrCP~~HOS~~Ubiquitin ligase FWD1~~pIkappaB-E3 receptor subunit,,,Q02085,SNAI1,MOUSE,Snai1,Snai1~~Sna,Zinc finger protein SNAI1 ~~Protein snail homolog 1~~Protein sna,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2434,Q3ULA2,FBW1A,MOUSE,Btrc,Btrc~~Fbw1~~Fbxw1~~Fwd1~~Kiaa4123,F-box/WD repeat-containing protein 1A ~~Beta-TrCP protein E3RS-IkappaB~~Beta-transducin repeat-containing protein~~Beta-TrCP~~E3RSIkappaB~~mE3RS-IkappaB~~F-box and WD repeats protein beta-TrCP~~HOS~~Ubiquitin ligase FWD1~~pIkappaB-E3 receptor subunit,,,P97471,SMAD4,MOUSE,Smad4,Smad4~~Dpc4~~Madh4,Mothers against decapentaplegic homolog 4 ~~MAD homolog 4~~Mothers against DPP homolog 4~~Deletion target in pancreatic carcinoma 4 homolog~~SMAD family member 4~~SMAD 4~~Smad4,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2435,Q3ULA2,FBW1A,MOUSE,Btrc,Btrc~~Fbw1~~Fbxw1~~Fwd1~~Kiaa4123,F-box/WD repeat-containing protein 1A ~~Beta-TrCP protein E3RS-IkappaB~~Beta-transducin repeat-containing protein~~Beta-TrCP~~E3RSIkappaB~~mE3RS-IkappaB~~F-box and WD repeats protein beta-TrCP~~HOS~~Ubiquitin ligase FWD1~~pIkappaB-E3 receptor subunit,,,Q8BUN5,SMAD3,MOUSE,Smad3,Smad3~~Madh3,Mothers against decapentaplegic homolog 3 ~~MAD homolog 3~~Mad3~~Mothers against DPP homolog 3~~mMad3~~SMAD family member 3~~SMAD 3~~Smad3,Mus musculus (Mouse),Mus musculus (Mouse),22199232
2436,Q3ULA2,FBW1A,MOUSE,Btrc,Btrc~~Fbw1~~Fbxw1~~Fwd1~~Kiaa4123,F-box/WD repeat-containing protein 1A ~~Beta-TrCP protein E3RS-IkappaB~~Beta-transducin repeat-containing protein~~Beta-TrCP~~E3RSIkappaB~~mE3RS-IkappaB~~F-box and WD repeats protein beta-TrCP~~HOS~~Ubiquitin ligase FWD1~~pIkappaB-E3 receptor subunit,,,Q02248,CTNB1,MOUSE,Ctnnb1,Ctnnb1~~Catnb,Catenin beta-1 ~~Beta-catenin,Mus musculus (Mouse),Mus musculus (Mouse),22199232
